title ,query,response
UWPPL,What is the maximum loan amount available under the Union Women Professional Personal Loan Scheme (UWPPL)?,The maximum loan amount available under the Union Women Professional Personal Loan Scheme is up to Rs.50 lakh.
UWPPL,What is the rate of interest for salaried applicants with a CIBIL score of 700 or above under the UWPPL?,"For salaried applicants with a CIBIL score of 700 or above, the rate of interest is EBLR + 2.10%."
UWPPL,What rate of interest applies to non-salaried applicants with a CIBIL score below 700 under this scheme?,Non-salaried applicants with a CIBIL score below 700 have a rate of interest of EBLR + 3.25%.
UWPPL,Are there any processing charges for the UWPPL loan?,"No, there are no processing charges for the UWPPL loan."
UWPPL,What happens if there is a delay in payment or a default on the UWPPL loan?,"In the case of default or delayed payment, a penal charge of 2% per annum is applied to the overdue amount for the period of default."
UWPPL,Is there a penalty for prepayment of the UWPPL loan?,"No, there is no prepayment penalty if the loan is repaid using the borrower's own verifiable legitimate sources."
UWPPL,What is the interest rate for salaried applicants with a CIBIL score below 700 under this scheme?,"For salaried applicants with a CIBIL score below 700, the interest rate is EBLR + 2.25%."
UWPPL,How is the interest rate determined for non-salaried applicants with a CIBIL score of 700 or above under the UWPPL?,"For non-salaried applicants with a CIBIL score of 700 or above, the interest rate is EBLR + 3.00%."
UWPPL,What is the penal charge rate for overdue payments in this loan scheme?,The penal charge for overdue payments is 2% per annum on the overdue amount for the period of default.
UWPPL,"Can the loan be prepaid without additional costs, and under what condition?","Yes, the loan can be prepaid without additional costs if the borrower uses his or her own verifiable legitimate sources for repayment."
UWPPL,Does the UWPPL scheme charge a processing fee?,"No, the UWPPL scheme does not charge a processing fee."
