title ,query,response
government savings scheme,"What is the rate of interest on Kisan Vikas Patra for the first quarter of 2024, and how long will it take to mature?","The rate of interest on Kisan Vikas Patra is 7.5% for the period from 1st January, 2024 to 31st March, 2024, and it will mature in 115 months."
government savings scheme,"How much interest is offered under the Sukanya Samriddhi Account Scheme for the period from 1st January, 2024 to 31st March, 2024?","The Sukanya Samriddhi Account Scheme offers an interest rate of 8.2% for the period from 1st January, 2024 to 31st March, 2024."
title ,query,response
government savings scheme,"What is the rate of interest for a Savings Deposit under Small Savings Schemes for the period from 1st January, 2024 to 31st March, 2024?","The rate of interest for a Savings Deposit is 4% from 1st January, 2024 to 31st March, 2024."
government savings scheme,What is the interest rate on a 1-Year Time Deposit for the fourth quarter of financial year 2023-24?,"The interest rate on a 1-Year Time Deposit is 6.9% from 1st January, 2024 to 31st March, 2024."
government savings scheme," For a 2-Year Time Deposit, what rate of interest is applicable for the period from 1st January to 31st March, 2024?","The rate of interest on a 2-Year Time Deposit is 7% for the period from 1st January, 2024 to 31st March, 2024."
government savings scheme,What is the interest rate for a 3-Year Time Deposit under the Small Savings Schemes from January to March 2024?,"The interest rate for a 3-Year Time Deposit is 7.1% for the period from 1st January, 2024 to 31st March, 2024."
government savings scheme,"For a 5-Year Time Deposit, what is the applicable interest rate during the fourth quarter of financial year 2023-24?"," The applicable interest rate for a 5-Year Time Deposit is 7.5% from 1st January, 2024 to 31st March, 2024."
government savings scheme,"What is the interest rate for a 5-Year Recurring Deposit under the Small Savings Schemes for the period from 1st January, 2024 to 31st March, 2024?","The interest rate for a 5-Year Recurring Deposit is 6.7% from 1st January, 2024 to 31st March, 2024."
government savings scheme,What rate of interest is offered on the Senior Citizen Savings Scheme for the first quarter of 2024?,"The rate of interest on the Senior Citizen Savings Scheme is 8.2% from 1st January, 2024 to 31st March, 2024."
government savings scheme,How much interest does the Monthly Income Account Scheme provide during the fourth quarter of FY 2023-24?,"The Monthly Income Account Scheme provides an interest rate of 7.4% from 1st January, 2024 to 31st March, 2024."
government savings scheme,"What is the rate of interest on the National Savings Certificate for the period starting from 1st January, 2024?","The interest rate on the National Savings Certificate is 7.7% from 1st January, 2024 to 31st March, 2024."
government savings scheme," For the Public Provident Fund Scheme, what interest rate is applicable during the period from January to March 2024?"," The interest rate for the Public Provident Fund Scheme is 7.1% from 1st January, 2024 to 31st March, 2024."
government savings scheme,"What is the rate of interest on Kisan Vikas Patra for the first quarter of 2024, and how long will it take to mature?","The rate of interest on Kisan Vikas Patra is 7.5% for the period from 1st January, 2024 to 31st March, 2024, and it will mature in 115 months."
government savings scheme,"How much interest is offered under the Sukanya Samriddhi Account Scheme for the period from 1st January, 2024 to 31st March, 2024?","The Sukanya Samriddhi Account Scheme offers an interest rate of 8.2% for the period from 1st January, 2024 to 31st March, 2024."
title ,query,response
government savings scheme,"What is the rate of interest for a Savings Deposit under Small Savings Schemes for the period from 1st January, 2024 to 31st March, 2024?","The rate of interest for a Savings Deposit is 4% from 1st January, 2024 to 31st March, 2024."
government savings scheme,What is the interest rate on a 1-Year Time Deposit for the fourth quarter of financial year 2023-24?,"The interest rate on a 1-Year Time Deposit is 6.9% from 1st January, 2024 to 31st March, 2024."
government savings scheme," For a 2-Year Time Deposit, what rate of interest is applicable for the period from 1st January to 31st March, 2024?","The rate of interest on a 2-Year Time Deposit is 7% for the period from 1st January, 2024 to 31st March, 2024."
government savings scheme,What is the interest rate for a 3-Year Time Deposit under the Small Savings Schemes from January to March 2024?,"The interest rate for a 3-Year Time Deposit is 7.1% for the period from 1st January, 2024 to 31st March, 2024."
government savings scheme,"For a 5-Year Time Deposit, what is the applicable interest rate during the fourth quarter of financial year 2023-24?"," The applicable interest rate for a 5-Year Time Deposit is 7.5% from 1st January, 2024 to 31st March, 2024."
government savings scheme,"What is the interest rate for a 5-Year Recurring Deposit under the Small Savings Schemes for the period from 1st January, 2024 to 31st March, 2024?","The interest rate for a 5-Year Recurring Deposit is 6.7% from 1st January, 2024 to 31st March, 2024."
government savings scheme,What rate of interest is offered on the Senior Citizen Savings Scheme for the first quarter of 2024?,"The rate of interest on the Senior Citizen Savings Scheme is 8.2% from 1st January, 2024 to 31st March, 2024."
government savings scheme,How much interest does the Monthly Income Account Scheme provide during the fourth quarter of FY 2023-24?,"The Monthly Income Account Scheme provides an interest rate of 7.4% from 1st January, 2024 to 31st March, 2024."
government savings scheme,"What is the rate of interest on the National Savings Certificate for the period starting from 1st January, 2024?","The interest rate on the National Savings Certificate is 7.7% from 1st January, 2024 to 31st March, 2024."
government savings scheme," For the Public Provident Fund Scheme, what interest rate is applicable during the period from January to March 2024?"," The interest rate for the Public Provident Fund Scheme is 7.1% from 1st January, 2024 to 31st March, 2024."
government savings scheme,"What is the rate of interest on Kisan Vikas Patra for the first quarter of 2024, and how long will it take to mature?","The rate of interest on Kisan Vikas Patra is 7.5% for the period from 1st January, 2024 to 31st March, 2024, and it will mature in 115 months."
government savings scheme,"How much interest is offered under the Sukanya Samriddhi Account Scheme for the period from 1st January, 2024 to 31st March, 2024?","The Sukanya Samriddhi Account Scheme offers an interest rate of 8.2% for the period from 1st January, 2024 to 31st March, 2024."
