title ,query,response
IR_FCNR(B)_RFC,"How much higher is the interest rate for USD deposits of 200,000 or more compared to deposits less than 200,000 for a 1-year FCNR (B) term?","The interest rate for USD deposits of 200,000 or more is 0.1 percentage points higher than for deposits less than 200,000 for a 1-year FCNR (B) term (5.8% vs 5.7%)."
IR_FCNR(B)_RFC,What is the difference between the highest and lowest interest rates offered for a 5-year FCNR (B) deposit across all currencies?,"The difference between the highest and lowest interest rates for a 5-year FCNR (B) deposit is 3.25 percentage points. The highest rate is 3.26% for AUD and CAD, while the lowest is 0.01% for JPY."
IR_FCNR(B)_RFC,"If you deposit 150,000 USD in an FCNR (B) account for 2 years, how much interest would you earn annually?","For a 2-year FCNR (B) deposit of 150,000 USD, you would earn 4.3% interest annually. The annual interest amount would be 6,450 USD (150,000 * 0.043)."
IR_FCNR(B)_RFC,"How much more interest would you earn annually on a 1-year RFC deposit of 250,000 USD compared to a similar FCNR (B) deposit?","There is no difference in interest earned. Both RFC and FCNR (B) deposits for 1 year with USD 250,000 have the same interest rate of 5.8%."
IR_FCNR(B)_RFC,"What is the total interest earned on a 3-year FCNR (B) deposit of 180,000 GBP, assuming simple interest?","The interest rate for a 3-year FCNR (B) deposit in GBP is 3%. The total interest earned over 3 years would be 16,200 GBP (180,000 * 0.03 * 3)."
IR_FCNR(B)_RFC,"How much more interest would a staff member earn annually on a 2-year RFC deposit of 100,000 AUD compared to a regular customer?","A staff member would earn 0.25% more interest annually on RFC deposits. For a 2-year 100,000 AUD deposit at 3.5% regular rate, a staff member would earn 250 AUD more per year (100,000 * 0.0025)."
IR_FCNR(B)_RFC,"If you have 1,000,000 JPY in an RFC savings account, how much interest would you earn in a year?","The interest rate for JPY in RFC savings accounts is 0.07%. In a year, you would earn 700 JPY in interest (1,000,000 * 0.0007)."
IR_FCNR(B)_RFC,"What is the difference in interest earned between a 4-year and a 5-year FCNR (B) deposit of 300,000 EUR over their full terms?","The interest rate for both 4-year and 5-year EUR deposits is 1.55%. Over 4 years, you would earn 18,600 EUR (300,000 * 0.0155 * 4). Over 5 years, you would earn 23,250 EUR (300,000 * 0.0155 * 5). The difference is 4,650 EUR."
IR_FCNR(B)_RFC,"How much total interest would you earn on a 1.5-year RFC deposit of 175,000 CAD?","The interest rate for a 1-year to <2-year RFC deposit in CAD is 4.55%. Over 1.5 years, you would earn 11,943.75 CAD in interest (175,000 * 0.0455 * 1.5)."
IR_FCNR(B)_RFC,"What's the difference in interest earned over 2 years between an FCNR (B) deposit of 190,000 USD and 210,000 USD?","For 190,000 USD, the rate is 5.7%, earning 21,660 USD (190,000 * 0.057 * 2). For 210,000 USD, the rate is 5.8%, earning 24,360 USD (210,000 * 0.058 * 2). The difference is 2,700 USD."
IR_FCNR(B)_RFC,"If you convert 50,000,000 JPY to an AUD FCNR (B) deposit for 3 years, assuming an exchange rate of 1 AUD = 95 JPY, how much more interest would you earn?","50,000,000 JPY is equivalent to about 526,315 AUD. In JPY, you'd earn 15,000 JPY (50,000,000 * 0.0001 * 3). In AUD, you'd earn 52,368 AUD (526,315 * 0.0331 * 3). The AUD deposit earns significantly more."
IR_FCNR(B)_RFC,"How much additional interest would a staff member earn on a 1-year RFC deposit of 300,000 GBP compared to a regular customer?","The regular rate is 5.05%. A staff member gets an additional 0.25%, so 5.3%. The difference in interest earned would be 750 GBP (300,000 * 0.0025)."
IR_FCNR(B)_RFC,"What's the total interest earned on a 5-year FCNR (B) deposit of 100,000 each in USD, GBP, and EUR, assuming simple interest?","USD: 19,000 (100,000 * 0.038 * 5) GBP: 12,500 (100,000 * 0.025 * 5) EUR: 7,750 (100,000 * 0.0155 * 5) Total: 39,250 in respective currencies"
IR_FCNR(B)_RFC,"If you have 1,000,000 in each currency (USD, GBP, EUR, JPY, CAD, AUD) in RFC savings accounts, what's the total annual interest earned across all accounts?","USD: 5,000 (1,000,000 * 0.005) GBP: 5,000 (1,000,000 * 0.005) EUR: 100 (1,000,000 * 0.0001) JPY: 700 (1,000,000 * 0.0007) CAD: 5,000 (1,000,000 * 0.005) AUD: 5,000 (1,000,000 * 0.005) Total: 20,800 in respective currencies"
IR_FCNR(B)_RFC,"What's the difference in interest earned between a 2-year and a 3-year FCNR (B) deposit of 250,000 USD?","2-year rate: 4.3%, earning 21,500 USD (250,000 * 0.043 * 2) 3-year rate: 4.05%, earning 30,375 USD (250,000 * 0.0405 * 3) The 3-year deposit earns 8,875 USD more."
IR_FCNR(B)_RFC,"How much more interest would you earn annually on a 1-year RFC deposit of 180,000 EUR compared to an FCNR (B) deposit?","There's no difference. Both RFC and FCNR (B) 1-year deposits for EUR have the same 3% interest rate, earning 5,400 EUR annually."
IR_FCNR(B)_RFC,"If you have a 4-year FCNR (B) deposit of 500,000 CAD, how much total interest would you earn, and how much more would you earn if you extended it to 5 years?","4-year: 31,000 CAD (500,000 * 0.0155 * 4) 5-year: 38,750 CAD (500,000 * 0.0155 * 5) By extending to 5 years, you'd earn an additional 7,750 CAD."
IR_FCNR(B)_RFC,"What's the difference in total interest earned over their full terms between a 3-year FCNR (B) deposit of 400,000 AUD and a 2-year deposit of the same amount?","3-year rate: 3.31%, earning 39,720 AUD (400,000 * 0.0331 * 3) 2-year rate: 3.5%, earning 28,000 AUD (400,000 * 0.035 * 2) The 3-year deposit earns 11,720 AUD more in total."

title ,query,response
IR_FCNR(B)_RFC,"What is the revised interest rate for a 1-year FCNR (B) deposit in USD for amounts less than 200,000?","The revised interest rate for a 1-year FCNR (B) deposit in USD for amounts less than 200,000 is 5.7%."
IR_FCNR(B)_RFC,"How much higher is the interest rate for USD deposits of 200,000 or more compared to deposits less than 200,000 for a 1-year FCNR (B) term?","The interest rate for USD deposits of 200,000 or more is 0.1 percentage points higher than for deposits less than 200,000 for a 1-year FCNR (B) term (5.8% vs 5.7%)."
IR_FCNR(B)_RFC,What is the difference between the highest and lowest interest rates offered for a 5-year FCNR (B) deposit across all currencies?,"The difference between the highest and lowest interest rates for a 5-year FCNR (B) deposit is 3.25 percentage points. The highest rate is 3.26% for AUD and CAD, while the lowest is 0.01% for JPY."
IR_FCNR(B)_RFC,"If you deposit 150,000 USD in an FCNR (B) account for 2 years, how much interest would you earn annually?","For a 2-year FCNR (B) deposit of 150,000 USD, you would earn 4.3% interest annually. The annual interest amount would be 6,450 USD (150,000 * 0.043)."
IR_FCNR(B)_RFC,"How much more interest would you earn annually on a 1-year RFC deposit of 250,000 USD compared to a similar FCNR (B) deposit?","There is no difference in interest earned. Both RFC and FCNR (B) deposits for 1 year with USD 250,000 have the same interest rate of 5.8%."
IR_FCNR(B)_RFC,"What is the total interest earned on a 3-year FCNR (B) deposit of 180,000 GBP, assuming simple interest?","The interest rate for a 3-year FCNR (B) deposit in GBP is 3%. The total interest earned over 3 years would be 16,200 GBP (180,000 * 0.03 * 3)."
IR_FCNR(B)_RFC,"How much more interest would a staff member earn annually on a 2-year RFC deposit of 100,000 AUD compared to a regular customer?","A staff member would earn 0.25% more interest annually on RFC deposits. For a 2-year 100,000 AUD deposit at 3.5% regular rate, a staff member would earn 250 AUD more per year (100,000 * 0.0025)."
IR_FCNR(B)_RFC,"If you have 1,000,000 JPY in an RFC savings account, how much interest would you earn in a year?","The interest rate for JPY in RFC savings accounts is 0.07%. In a year, you would earn 700 JPY in interest (1,000,000 * 0.0007)."
IR_FCNR(B)_RFC,"What is the difference in interest earned between a 4-year and a 5-year FCNR (B) deposit of 300,000 EUR over their full terms?","The interest rate for both 4-year and 5-year EUR deposits is 1.55%. Over 4 years, you would earn 18,600 EUR (300,000 * 0.0155 * 4). Over 5 years, you would earn 23,250 EUR (300,000 * 0.0155 * 5). The difference is 4,650 EUR."
IR_FCNR(B)_RFC,"How much total interest would you earn on a 1.5-year RFC deposit of 175,000 CAD?","The interest rate for a 1-year to <2-year RFC deposit in CAD is 4.55%. Over 1.5 years, you would earn 11,943.75 CAD in interest (175,000 * 0.0455 * 1.5)."
IR_FCNR(B)_RFC,"What's the difference in interest earned over 2 years between an FCNR (B) deposit of 190,000 USD and 210,000 USD?","For 190,000 USD, the rate is 5.7%, earning 21,660 USD (190,000 * 0.057 * 2). For 210,000 USD, the rate is 5.8%, earning 24,360 USD (210,000 * 0.058 * 2). The difference is 2,700 USD."
IR_FCNR(B)_RFC,"If you convert 50,000,000 JPY to an AUD FCNR (B) deposit for 3 years, assuming an exchange rate of 1 AUD = 95 JPY, how much more interest would you earn?","50,000,000 JPY is equivalent to about 526,315 AUD. In JPY, you'd earn 15,000 JPY (50,000,000 * 0.0001 * 3). In AUD, you'd earn 52,368 AUD (526,315 * 0.0331 * 3). The AUD deposit earns significantly more."
IR_FCNR(B)_RFC,"How much additional interest would a staff member earn on a 1-year RFC deposit of 300,000 GBP compared to a regular customer?","The regular rate is 5.05%. A staff member gets an additional 0.25%, so 5.3%. The difference in interest earned would be 750 GBP (300,000 * 0.0025)."
IR_FCNR(B)_RFC,"What's the total interest earned on a 5-year FCNR (B) deposit of 100,000 each in USD, GBP, and EUR, assuming simple interest?","USD: 19,000 (100,000 * 0.038 * 5) GBP: 12,500 (100,000 * 0.025 * 5) EUR: 7,750 (100,000 * 0.0155 * 5) Total: 39,250 in respective currencies"
IR_FCNR(B)_RFC,"If you have 1,000,000 in each currency (USD, GBP, EUR, JPY, CAD, AUD) in RFC savings accounts, what's the total annual interest earned across all accounts?","USD: 5,000 (1,000,000 * 0.005) GBP: 5,000 (1,000,000 * 0.005) EUR: 100 (1,000,000 * 0.0001) JPY: 700 (1,000,000 * 0.0007) CAD: 5,000 (1,000,000 * 0.005) AUD: 5,000 (1,000,000 * 0.005) Total: 20,800 in respective currencies"
IR_FCNR(B)_RFC,"What's the difference in interest earned between a 2-year and a 3-year FCNR (B) deposit of 250,000 USD?","2-year rate: 4.3%, earning 21,500 USD (250,000 * 0.043 * 2) 3-year rate: 4.05%, earning 30,375 USD (250,000 * 0.0405 * 3) The 3-year deposit earns 8,875 USD more."
IR_FCNR(B)_RFC,"How much more interest would you earn annually on a 1-year RFC deposit of 180,000 EUR compared to an FCNR (B) deposit?","There's no difference. Both RFC and FCNR (B) 1-year deposits for EUR have the same 3% interest rate, earning 5,400 EUR annually."
IR_FCNR(B)_RFC,"If you have a 4-year FCNR (B) deposit of 500,000 CAD, how much total interest would you earn, and how much more would you earn if you extended it to 5 years?","4-year: 31,000 CAD (500,000 * 0.0155 * 4) 5-year: 38,750 CAD (500,000 * 0.0155 * 5) By extending to 5 years, you'd earn an additional 7,750 CAD."
IR_FCNR(B)_RFC,"What's the difference in total interest earned over their full terms between a 3-year FCNR (B) deposit of 400,000 AUD and a 2-year deposit of the same amount?","3-year rate: 3.31%, earning 39,720 AUD (400,000 * 0.0331 * 3) 2-year rate: 3.5%, earning 28,000 AUD (400,000 * 0.035 * 2) The 3-year deposit earns 11,720 AUD more in total."
